ItemId,Serial No.,Item Code,Item Name,Description,SRP,Size,Tonality,PhysicalCount,Broken
3912,216740010,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,10,33287,
3913,216740011,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,33287,
3914,216740015,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,15,33287,
3915,216740016,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,16,33287,
3916,216740017,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,17,33287,
3917,216740276,S4040B,S4040B,40x40 Glazed Ceramic Tile(10/box),1,40x40,17 B,33287,
3918,216750000,S4040C,S4040C,40x40 Glazed Ceramic Tile(10/box),1,40x40,,84692,
3919,216750011,S4040C,S4040C,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,84692,
3920,216760000,S4040E,S4040E,40x40 Glazed Ceramic Tile(10/box),1,40x40,,4110,
3921,216770000,S4040F,S4040F,40x40 Glazed Ceramic Tile(10/box),1,40x40,,0,
3922,216770001,S4040F,S4040F,40x40 Glazed Ceramic Tile(10/box),1,40x40,1,0,
3923,216780005,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,658,
3924,216780006,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,658,
3925,216780007,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,658,
3926,216780011,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,658,
3927,216780013,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,13,658,
3928,216780014,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,14,658,
3929,216780015,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,15,658,
3930,216780017,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,17,658,
3931,216780274,S4040G,S4040G,40x40 Glazed Ceramic Tile(10/box),1,40x40,16B,658,
3932,216790002,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,90179,
3933,216790004,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,4,90179,
3934,216790005,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,90179,
3935,216790006,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,90179,
3936,216790007,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,90179,
3937,216790009,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,90179,
3938,216790010,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,10,90179,
3939,216790011,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,90179,
3940,216790019,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,19,90179,
3941,216790179,S4040K,S4040K,40x40 Glazed Ceramic Tile(10/box),1,40x40,15 C,90179,
3942,216800002,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,42675,
3943,216800003,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,3,42675,
3944,216800004,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,4,42675,
3945,216800005,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,42675,
3946,216800007,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,42675,
3947,216800008,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,8,42675,
3948,216800499,S4040M,S4040M,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,42675,
3949,216810002,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,31000,
3950,216810003,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,3,31000,
3951,216810006,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,31000,
3952,216810008,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,8,31000,
3953,216810009,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,31000,
3954,216810010,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,10,31000,
3955,216810012,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,12,31000,
3956,216810505,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,31000,
3957,216810511,S4040N,S4040N,40x40 Glazed Ceramic Tile(10/box),1,40x40,8 C,31000,
3958,216820001,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,1,50866,
3959,216820002,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,50866,
3960,216820003,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,3,50866,
3961,216820004,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,4,50866,
3962,216820005,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,50866,
3963,216820007,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,50866,
3964,216820009,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,50866,
3965,216820011,S4040P,S4040P,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,50866,
3966,216830001,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,1,69780,
3967,216830002,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,69780,
3968,216830003,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,3,69780,
3969,216830005,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,69780,
3970,216830006,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,69780,
3971,216830008,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,8,69780,
3972,216830009,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,69780,
3973,216830505,S4040Q,S4040Q,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,69780,
3974,216840001,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,1,32671,
3975,216840002,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,32671,
3976,216840005,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,32671,
3977,216840006,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,32671,
3978,216840007,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,32671,
3979,216840008,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,8,32671,
3980,216840009,S4040R,S4040R,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,32671,
3981,216850002,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,45521,
3982,216850003,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,3,45521,
3983,216850005,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,5,45521,
3984,216850006,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,6,45521,
3985,216850007,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,7,45521,
3986,216850009,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,9,45521,
3987,216850010,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,10,45521,
3988,216850011,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,11,45521,
3989,216850012,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,12,45521,
3990,216850013,S4040S,S4040S,40x40 Glazed Ceramic Tile(10/box),1,40x40,13,45521,
3991,216860002,S4040V,S4040V,40x40 Glazed Ceramic Tile(10/box),1,40x40,2,77394,
