ItemId,Serial No.,Item Code,Item Name,Description,SRP,Size,Tonality,PhysicalCount,Broken
1,220110015,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,15,0,
2,220110016,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,16,0,
3,220110017,01-0/ Roma Base,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,17,44911,
4,220110018,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,18,0,
5,220110019,01 / M302,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,19,0,
6,201860004,01-0,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,4,338,
7,201860005,05-1,01/ Roma Base,30X30 Glazed Ceramic Tile (17/box),1,30x30,5,0,
8,220120010,1-23F,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,10,10000,
9,200140004,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,4,0,
10,200140029,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,29,0,
11,200140030,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,30,0,
12,200140033,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,34,0,
13,200140034,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,35,0,
14,200140035,1106,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,36,0,
15,220130021,1206,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,21,0,
16,202030002,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,2,10000,
17,202030003,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,3,10000,
18,202030008,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,8,10000,
19,202030918,12GAB1,1206/ New Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,R1,10000,
20,202040001,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,1,34242,
21,202040011,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,11,34242,
22,202040822,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,J1,34242,
23,202040918,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R1,34242,
24,202040936,12GAW1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R3,34242,
25,202050003,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,3,38389,
26,202050004,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,4,38389,
27,202050005,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,5,38389,
28,202050006,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,6,38389,
29,202050015,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,15,38389,
30,202050016,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,16,38389,
31,202050723,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,H1,38389,
32,202050918,12GBC1,12GAW1/ Subway Tile White,10x20 Glazed Ceramic (60/box),1,10x20,R1,38389,
33,202060001,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,1,68627,
34,202060002,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,2,68627,
35,202060003,12GCL3,12GBC1 Backsplash Gray,10x20 Glazed Ceramic (60/box),1,10x20,3,68627,
36,202070003,12GDH1,12GCL3 Blacksplash Yellow,10x20 Glazed Ceramic (60/box),1,10x20,3,32739,
37,202070011,12GDH1,12GCL3 Blacksplash Yellow,10x20 Glazed Ceramic (60/box),1,10x20,11,32739,
38,202070013,12GDH1,12GCL3 Blacksplash Yellow,10x20 Glazed Ceramic (60/box),1,10x20,13,32739,
39,202070014,12GDH1,12GCL3 Blacksplash Yellow,10x20 Glazed Ceramic (60/box),1,10x20,14,32739,
40,202080001,12GDM1,12GDH1 Backsplash Black,10x20 Glazed Ceramic (60/box),1,10x20,1,35214,
41,202080002,12GDM1,12GDH1 Backsplash Black,10x20 Glazed Ceramic (60/box),1,10x20,2,35214,
42,202080003,12GDM1,12GDH1 Backsplash Black,10x20 Glazed Ceramic (60/box),1,10x20,3,35214,
43,202090001,12GEK2,12GDM1 Backsplash Blue,10x20 Glazed Ceramic (60/box),1,10x20,1,51081,
44,202090003,12GEK2,12GDM1 Backsplash Blue,10x20 Glazed Ceramic (60/box),1,10x20,3,51081,
45,202090004,12GEK2,12GDM1 Backsplash Blue,10x20 Glazed Ceramic (60/box),1,10x20,4,51081,
55,219890497,1805,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,5,0,
56,202290002,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,2,19351,
57,202290003,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,3,19351,
58,202290011,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,11,19351,
59,202290015,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,15,19351,
60,202290016,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,16,19351,
61,202290018,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,18,19351,
62,202290021,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,21,19351,
63,202290022,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,22,19351,
64,202290023,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,23,19351,
65,202290024,180A,180A/ Open Pink,20x30 Ceramic Wall Tile (25/box),1,20x30,24,19351,
75,202340864,2-6B60481,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,ME05,14205,
76,202340865,2-6B60481,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,ME07,14205,
77,202340866,2-6B60481,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,ME08,14205,
78,202350865,2-6B60481-J1,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,ME07,67913,
79,202350866,2-6B60481-J1,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,ME08,67913,
80,202350911,2-6B60481-J1,264-B/ Green Marble,20x30 Ceramic Wall Tile (25/box),1,20x30,O34,67913,
81,200180585,2001,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,A4,0,
82,200220531,2007,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,A1,0,
83,200220546,2007,306 Arizona Matte,30x30 Semi Polished Granite Tile (17/box),1,30x30,A2,0,
