ItemId,Serial No.,Item Code,Item Name,Description,SRP,Size,Tonality,PhysicalCount,Broken
3086,208800000,Display Board (No Frame),Display Board (No Frame),Display Board,1,Display,,0,
3087,208810000,Display Board B2B w/ Light,Display Board B2B w,Back to Back Stand w/Light,1,Back,,0,
3088,208820000,Display Board Stand (Set),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,9,
3089,208830000,Display Rack (80x80),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3090,208840000,Display Rack (90x90),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3091,208850000,Display Rack (Big),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3092,208860000,Display Rack (New),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3093,208870000,Display Rack (small),Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3094,208890000,Display Rack-Cleaner,Display Rack-Cleaner,Display Rack-Cleaner/Polisher,1,Display,,0,
3095,208880000,Display Rack_LL 1750,Display Board Stand (Set),Display board with stand (X-Type),1,Display,,0,
3096,208900000,Display Stand (Floor Drain),Display Stand (Floor Drain),Display Stand for Floor Drains Free,1,Display,,12,
3097,208910000,Diza,Diza,30x45 Ceramic Wall Tile,1,30x45,,12,
3098,208920000,E07*,E07*,7x20 Ceramic Border,1,7x20,,64,
3099,208930000,E111,E07*,7x20 Ceramic Border,1,7x20,,64,
3100,208940000,E112,E07*,7x20 Ceramic Border,1,7x20,,64,
3101,208950000,E306,E07*,7x20 Ceramic Border,1,7x20,,64,
3102,208960000,E3444,E3444,30x30 Ceramic Floor Tile,1,30x30,,441,
3103,208970000,E3840,E3840,30x30 Ceramic Floor Tile (17/box),1,30x30,,0,
3104,208980000,E3841,E3841,30x30 Ceramic Floor Tile (17/box),1,30x30,,0,
3105,208990000,E3842,E3842,30x30 Ceramic Floor Tile (17/box),1,30x30,,0,
3106,209000000,E3843,E3843,30x30 Ceramic Floor Tile,1,30x30,,1,
3107,209020000,E3886,E3886,30x30 Ceramic Floor Tile,1,30x30,,54419,
3108,209030000,E3887,E3887,30x30 Ceramic Floor Tile,1,30x30,,0,
3109,209040000,E3888,E3888,30x30 Ceramic Floor Tile,1,30x30,,0,
3110,209050000,E73,E3888,30x30 Ceramic Floor Tile,1,30x30,,0,
3111,209060000,E78,E73 Border,7x20 Ceramic Border,1,7x20,,254,
3112,209070000,EC12,E78 Border,7x20 Ceramic Border,1,7x20,,0,
3113,209080000,EC13,EC12 Border,7x20 Ceramic Border (80/box),1,7x20,,140,
3114,209090000,EC14,EC13 Border,7x20 Ceramic Border (80/box),1,7x20,,161,
3115,209100000,EC15,EC15,7x20 Ceramic Border,1,7x20,,8890,
3116,209110000,Economical Toilet Bowl Set,Economical Toilet Bowl Set,Sanitary Ware / Set Packages/WHITE COLOR,1,Sanitary,,0,
3117,209120000,Edcel Border,Edcel Border,7x20,1,7x20,,0,
3118,209130000,Efficient Toilet Bowl Set,Efficient Toilet Bowl Set,Sanitary Ware / Set Packages/White,1,Sanitary,,0,
3119,209140000,Efficient(Cashmere) Bowl Set,Efficient(Cashmere) Bowl Set,Sanitary Ware / Set Packages,1,Sanitary,,0,
3120,209150000,Efficient(Ivory Bone) Bowl Set,Efficient(Ivory Bone) Bowl Set,Sanitary Ware / Set Packages,1,Sanitary,,0,
3121,209160000,Efficient(White - TPB) Bowl Set,Efficient(White - TPB) Bowl Set,Sanitary Ware / Set Packages,1,Sanitary,,0,
3122,209180000,F3030A,F3030A,30x30 Rustic Ceramic Tile,1,30x30,,0,
3123,209190000,F3030B,F3030B,30x30 Rustic Ceramic Tile,1,30x30,,0,
3124,209200000,F3030BR,F3030BR,30x30 Rustic Ceramic Tile,1,30x30,,0,
3125,209210000,F3030C,F3030C,30x30 Ceramic Tile (17/box),1,30x30,,0,
3126,209220000,F3030D,F3030D,30x30 Rustic Ceramic Tile,1,30x30,,0,
3127,209230000,F3030DR,F3030DR,30x30 Rustic Ceramic Tile-R,1,30x30,,0,
3128,209240000,F3030E,F3030E,30x30 Rustic Ceramic Tile (17/box),1,30x30,,0,
3129,209250000,F3030ER,F3030ER,30x30 Rustic Ceramic Tile-R,1,30x30,,4,
3130,209270000,F3033,F3033,30x30 Ceramic Tile (17/box),1,30x30,,22252,
3131,209280000,F3034,F3034,30x30 Rustic Ceramic Tile,1,30x30,,45460,
3132,209290000,F3035,F3035,30x30 Rustic Ceramic Tile (17/box),1,30x30,,0,
3133,209300000,F3036,F3035,30x30 Rustic Ceramic Tile (17/box),1,30x30,,76,
3134,209310000,F3037,F3037,30x30 Rustic Ceramic Tile,1,30x30,,0,
3135,209330000,F3038R,F3038R,30x30 Rustic Ceramic Tile-R,1,30x30,,23028,
3136,209340000,F3039,F3039,30x30 Rustic Ceramic Tile,1,30x30,,0,
3137,209350000,F3040,F3040,30x30 Ceramic Tile (Matte) (17/box),1,30x30,,0,
3138,209360000,F3200,F3200,30x30 Ceramic Floor Tile,1,30x30,,0,
3139,209370000,F3201,F3201,30x30 Ceramic Floor Tile,1,30x30,,0,
3140,209380000,F3202,F3202,30x30 Ceramic Floor Tile,1,30x30,,0,
3141,209390000,F345,F3202,30x30 Ceramic Floor Tile,1,30x30,,0,
3142,209400000,F3838A,F3838A,38x38 Ceramic Floor Tile(10/box),1,38x38,,128,
3143,209410000,F3838B,F3838A,38x38 Ceramic Floor Tile(10/box),1,38x38,,4,
3144,209420000,F3838B-40,F3838B-40,40x40 Ceramic Floor Tile (8/box),1,40x40,,0,
3146,209440000,F3838D,F3838D,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3147,209450000,F3838E,F3838E,38x38 Ceramic Floor Tile,1,38x38,,0,
3148,209460000,F3838F,F3838F,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3149,209470000,F3838G,F3838G,38x38 Ceramic Floor Tile,1,38x38,,0,
3150,209480000,F3838H,F3838H,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3151,209490000,F3838L,F3838L,38x38 Ceramic Floor Tile,1,38x38,,0,
3152,209500000,F3838LD*,F3838LD*,38x38 Ceramic Floor Tile,1,38x38,,0,
3153,209510000,F3838M,F3838M,38x38 Ceramic Floor Tile (12pcs/box),1,38x38,,0,
3154,209520000,F3838N,F3838N,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3155,209530000,F3838O,F3838O,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3156,209540000,F3838P,F3838P,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3157,209550000,F3838Q,F3838Q,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3158,209560000,F3838R,F3838R,38x38 Ceramic Floor Tile,1,38x38,,0,
3159,209570000,F3838S,F3838S,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3160,209580000,F3838W,F3838S,38x38 Ceramic Floor Tile(10/box),1,38x38,,0,
3161,209590000,F4040A,F4040A,40x40 Rustic Ceramic Tile,1,40x40,,11,
3162,209600000,F4040B,F4040B,40x40 Rustic Ceramic Tile,1,40x40,,0,
3163,209610000,F4040C,F4040C,40x40 Ceramic Floor Tile (8/box),1,40x40,,9,
3165,209630531,F4040E,F4040D,40x40 Ceramic Floor Tile (8/box),1,40x40,A1,59,
3166,209640000,F4040M,F4040M,40x40 Ceramic Floor Tile (8/box),1,40x40,,27491,
3167,209660000,F42,F42,40x40 Ceramic Tile (Inject) (8/box),1,40x40,,25292,
3168,209680568,F44,F44,40x40 Ceramic Floor Tile (Inject) (8/box),1,40x40,A3,19636,
3169,209680585,F44,F44,40x40 Ceramic Floor Tile (Inject) (8/box),1,40x40,A4,19636,
3170,209690000,F44H1,F44H1,10x10 Glazed Ceramic Tile,1,10x10,,0,
3171,209700546,F45-12,F45-12,40x40 Ceramic Tile (Inject) (8/box),1,40x40,A2,40252,
3172,209710585,F46,F46,40x40 Ceramic Tile (Inject) (8/box),1,40x40,A4,17084,
3173,209710594,F46,F46,40x40 Ceramic Tile (Inject) (8/box),1,40x40,A5,17084,
3174,209710604,F46,F46,40x40 Ceramic Tile (Inject) (8/box),1,40x40,A6,17084,
3175,209710607,F46,F46,40x40 Ceramic Tile (Inject) (8/box),1,40x40,A7,17084,
3176,209720000,F8107,F8107,38x38 Ceramic Floor Tile,1,38x38,,17084,
3177,209730000,F8301**,F8301**,38x38 Ceramic Floor Tile,1,38x38,,0,
3178,209740000,FA69,F8301**,38x38 Ceramic Floor Tile,1,38x38,,0,
3179,209750000,Faucet FD 8203,Faucet FD 8203,3cm Lavatory Faucet H&C,1,3cm,,0,
3180,209760000,Faucet01,Faucet01,SH Extended/Tall Lavatory Faucet,1,SH,,0,
3181,209770000,Faucet03,Faucet03,SH Lavatory Faucet,1,SH,,2,
3182,209780000,Faucet04,Faucet04,SH Lavatory Faucet,1,SH,,2,
3183,209790000,FC,Faucet04,SH Lavatory Faucet,1,SH,,1,
3184,209800000,FC-30606,FC233 Gold (4mm-Nano),1220x2440x4mm ACP - Nano-PVDF,1,1220x2440x4mm,,421,
3185,209810000,FC-30610,FC233 Gold (4mm-Nano),1220x2440x4mm ACP - Nano-PVDF,1,1220x2440x4mm,,126,
3186,209820000,FC-30610A,FC233 Gold (4mm-Nano),1220x2440x4mm ACP - Nano-PVDF,1,1220x2440x4mm,,127,
3187,209830000,FC-30613,FC233 Gold (4mm-Nano),1220x2440x4mm ACP - Nano-PVDF,1,1220x2440x4mm,,303,
3188,209840000,FC-31106,FC233 Gold (4mm-Nano),1220x2440x4mm ACP - Nano-PVDF,1,1220x2440x4mm,,303,
3189,209850000,FC-34105,FC333 Deep Blue (4mm-PVDF),1220x2440x4mm ACP - PVDF,1,1220x2440x4mm,,5,
3190,209860000,FC-37606,FC333 Deep Blue (4mm-PVDF),1220x2440x4mm ACP - PVDF,1,1220x2440x4mm,,112,
3191,209870000,FC-37607,FC333 Deep Blue (4mm-PVDF),1220x2440x4mm ACP - PVDF,1,1220x2440x4mm,,220,
